metric,mean,median,p5,p95
CAGR,0.14599437489721587,0.14457877181718237,0.07539187080910516,0.21944623845492667
Max Drawdown,-0.19333554499050798,-0.18632017627665315,-0.2846202053796034,-0.12843913385163613
Drawdown Duration (Days),462.073,405.0,200.0,922.0
Sharpe Ratio,0.7465285982792327,0.7449578732848248,0.25536012856026435,1.2318265163159494
Sortino Ratio,0.9867528003946323,0.9802116469090518,0.33065932308040724,1.6562348755191825
Ulcer Index,6.685421805146066,6.226142051123167,4.058736105699712,10.904286522846752
Ruined,0.0,0.0,0.0,0.0
Probability Of Ruin,0.0,0.0,0.0,0.0
