metric,mean,median,p5,p95
CAGR,0.05896788213675141,0.05818610828185,0.004145342386737728,0.11519088298264804
Max Drawdown,-0.21457831428141394,-0.2032416319225664,-0.33657514447719794,-0.13082741218395413
Drawdown Duration (Days),848.4105,726.0,318.0,1814.0999999999985
Sharpe Ratio,0.333019922230857,0.3312299563101322,-0.1707254816529706,0.8325699509705212
Sortino Ratio,0.4046090041877135,0.39467374608736283,-0.19821234744681462,1.0264981621397455
Ulcer Index,9.016800015538763,7.9769532456035535,4.592138648184841,17.1108212953585
Ruined,0.0,0.0,0.0,0.0
Probability Of Ruin,0.0,0.0,0.0,0.0
