metric,mean,median,p5,p95
CAGR,0.08067553334034894,0.07713704209275851,-0.049428329385723724,0.22188922096471403
Max Drawdown,-0.4960509684574897,-0.48142987271573917,-0.7117912495271801,-0.32203393201242597
Drawdown Duration (Days),1125.9018,999.0,406.0,2277.0
Sharpe Ratio,0.23175477561976512,0.23052525777747435,-0.2574128696956207,0.7210780636292934
Sortino Ratio,0.3224765030324482,0.31588844100115737,-0.3504823455688935,1.0116563845791982
Ulcer Index,24.525020671752554,22.218775734861985,12.437859288811827,44.496321045836154
Ruined,0.0002,0.0,0.0,0.0
Probability Of Ruin,0.0002,0.0002,0.0002,0.0002
