metric,mean,median,p5,p95
CAGR,0.09035630763610714,0.0866251342547033,-0.017564871938339974,0.2075792610605904
Max Drawdown,-0.3971600715011825,-0.3826890134581904,-0.5851993011238029,-0.2584692455626477
Drawdown Duration (Days),1008.5836,875.0,377.0,2103.0499999999993
Sharpe Ratio,0.3781590248577419,0.3754273601059497,-0.12619733756947046,0.8760909119588614
Sortino Ratio,0.45360761808094646,0.44335781468806923,-0.14324105952240118,1.0703473965377668
Ulcer Index,18.822706097013324,17.036725998871617,9.891307169423863,34.06170363777687
Ruined,0.0,0.0,0.0,0.0
Probability Of Ruin,0.0,0.0,0.0,0.0
