metric,mean,median,p5,p95
CAGR,0.1539275974856955,0.1488544279349503,-0.03357306685369306,0.35882111012808615
Max Drawdown,-0.556622729823363,-0.5452390329039838,-0.780714891053472,-0.3719570774752653
Drawdown Duration (Days),986.0629,849.0,352.0,2134.0499999999993
Sharpe Ratio,0.5069225001553864,0.508144305756481,-0.01790371207250632,1.0313208681139299
Sortino Ratio,0.6068165889572488,0.5991919763602996,-0.020301459848840797,1.2644721791115934
Ulcer Index,26.741778086140386,24.358794702903126,13.823792394486803,48.48657443893553
Ruined,0.0004,0.0,0.0,0.0
Probability Of Ruin,0.0004,0.0004,0.0004,0.0004
