metric,mean,median,p5,p95
CAGR,0.12955575707907394,0.12692093044283959,-0.009397115165561395,0.27767432190902097
Max Drawdown,-0.4449725068773196,-0.43017387371658317,-0.656239158318758,-0.2861166229674417
Drawdown Duration (Days),910.4498,775.0,326.95000000000005,1997.0499999999993
Sharpe Ratio,0.5005767936471599,0.5017404590110472,-0.02430596552314658,1.024866860757592
Sortino Ratio,0.5988534457353897,0.5908352737042086,-0.027799226817712748,1.2552377358916207
Ulcer Index,20.08246651250597,18.04929726491487,10.202833725002868,37.51416865147212
Ruined,0.0,0.0,0.0,0.0
Probability Of Ruin,0.0,0.0,0.0,0.0
