metric,mean,median,p5,p95
CAGR,0.06501456103553015,0.06426437137157537,0.019540184536797522,0.11207687035725931
Max Drawdown,-0.15956138971299752,-0.1509170347826264,-0.24894295147430398,-0.09820490000286311
Drawdown Duration (Days),663.9243,569.0,258.0,1410.0
Sharpe Ratio,0.2113872968136186,0.2065858859169698,-0.2947449469506829,0.7225778378609292
Sortino Ratio,0.29947686239132154,0.2888472027089467,-0.40736473041192195,1.0285942636135141
Ulcer Index,6.037381570251213,5.402297704269021,3.222943849282555,10.955551817815838
Ruined,0.0,0.0,0.0,0.0
Probability Of Ruin,0.0,0.0,0.0,0.0
