Date,Adj Close
2017-12-18,19100.0
2017-12-19,18200.0
2017-12-20,17040.0
2017-12-21,15330.0
2017-12-22,14135.0
2017-12-26,15785.0
2017-12-27,14690.0
2017-12-28,13745.0
2017-12-29,14470.0
2018-01-02,14855.0
2018-01-03,14975.0
2018-01-04,14900.0
2018-01-05,16590.0
2018-01-08,14905.0
2018-01-09,14750.0
2018-01-10,14450.0
2018-01-11,13385.0
2018-01-12,13945.0
2018-01-16,11160.0
2018-01-17,10945.0
2018-01-18,11815.0
2018-01-19,11360.0
2018-01-22,10355.0
2018-01-23,11095.0
2018-01-24,11115.0
2018-01-25,11245.0
2018-01-26,10925.3701171875
2018-01-29,11170.0
2018-01-30,9940.0
2018-01-31,10000.0
2018-02-01,9090.0
2018-02-02,8585.0
2018-02-05,7260.0
2018-02-06,7550.0
2018-02-07,8245.0
2018-02-08,8325.0
2018-02-09,8610.0
2018-02-12,8860.0
2018-02-13,8700.0
2018-02-14,9290.0
2018-02-15,10090.0
2018-02-16,10020.0
2018-02-20,11735.0
2018-02-21,10370.0
2018-02-22,10085.0
2018-02-23,10319.4296875
2018-02-26,10250.0
2018-02-27,10660.0
2018-02-28,10645.0
2018-03-01,11065.0
2018-03-02,11060.0
2018-03-05,11615.0
2018-03-06,10650.0
2018-03-07,9790.0
2018-03-08,9400.0
2018-03-09,9015.0
2018-03-12,8910.0
2018-03-13,9070.0
2018-03-14,8275.0
2018-03-15,8235.0
2018-03-16,8555.0
2018-03-19,8400.0
2018-03-20,8945.0
2018-03-21,8890.0
2018-03-22,8630.0
2018-03-23,8615.0
2018-03-26,7910.0
2018-03-27,7895.0
2018-03-28,7875.0
2018-03-29,7389.91015625
2018-04-02,6990.0
2018-04-03,7460.0
2018-04-04,6860.0
2018-04-05,6760.0
2018-04-06,6630.0
2018-04-09,6675.0
2018-04-10,6840.0
2018-04-11,6920.0
2018-04-12,7680.0
2018-04-13,8105.0
2018-04-16,7980.0
2018-04-17,7885.0
2018-04-18,8125.0
2018-04-19,8260.0
2018-04-20,8540.0
2018-04-23,8845.0
2018-04-24,9455.0
2018-04-25,8970.0
2018-04-26,8865.0
2018-04-27,9231.1201171875
2018-04-30,9365.0
2018-05-01,8985.0
2018-05-02,9150.0
2018-05-03,9675.0
2018-05-04,9670.0
2018-05-07,9435.0
2018-05-08,9235.0
2018-05-09,9280.0
2018-05-10,9090.0
2018-05-11,8625.0
2018-05-14,8755.0
2018-05-15,8555.0
2018-05-16,8250.0
2018-05-17,8180.0
2018-05-18,8230.0
2018-05-21,8375.0
2018-05-22,8180.0
2018-05-23,7590.0
2018-05-24,7580.0
2018-05-25,7493.93994140625
2018-05-29,7495.0
2018-05-30,7320.0
2018-05-31,7545.0
2018-06-01,7440.0
2018-06-04,7500.0
2018-06-05,7625.0
2018-06-06,7540.0
2018-06-07,7705.0
