Date,Adj Close
2022-04-04,46085.0
2022-04-05,46140.0
2022-04-06,43775.0
2022-04-07,43380.0
2022-04-08,42715.0
2022-04-11,39955.0
2022-04-12,39290.0
2022-04-13,41120.0
2022-04-14,39825.0
2022-04-18,40700.0
2022-04-19,41520.0
2022-04-20,41235.0
2022-04-21,41245.0
2022-04-22,39455.0
2022-04-25,40210.0
2022-04-26,38220.0
2022-04-27,38900.0
2022-04-28,39920.0
2022-04-29,38997.33984375
2022-05-02,38540.0
2022-05-03,37635.0
2022-05-04,39900.0
2022-05-05,36270.0
2022-05-06,35925.0
2022-05-09,30930.0
2022-05-10,31280.0
2022-05-11,29195.0
2022-05-12,28585.0
2022-05-13,30035.0
2022-05-16,29505.0
2022-05-17,30000.0
2022-05-18,29185.0
2022-05-19,29945.0
2022-05-20,29260.0
2022-05-23,29015.0
2022-05-24,29305.0
2022-05-25,29535.0
2022-05-26,29315.0
2022-05-27,29042.23046875
2022-05-31,31650.0
2022-06-01,30035.0
2022-06-02,30290.0
2022-06-03,29535.0
2022-06-06,31490.0
2022-06-07,31045.0
2022-06-08,30080.0
2022-06-09,29945.0
2022-06-10,28920.0
2022-06-13,23110.0
2022-06-14,22125.0
2022-06-15,21625.0
2022-06-16,20790.0
2022-06-17,20470.0
2022-06-21,20860.0
2022-06-22,20105.0
2022-06-23,20900.0
2022-06-24,21206.900390625
2022-06-27,20800.0
2022-06-28,20175.0
2022-06-29,20185.0
2022-06-30,18760.0
2022-07-01,19315.0
2022-07-05,20390.0
2022-07-06,20275.0
2022-07-07,21855.0
2022-07-08,21765.0
2022-07-11,20455.0
2022-07-12,19315.0
2022-07-13,19615.0
2022-07-14,20625.0
2022-07-15,21190.0
2022-07-18,21620.0
2022-07-19,23460.0
2022-07-20,23695.0
2022-07-21,23230.0
2022-07-22,22615.0
2022-07-25,21885.0
2022-07-26,20915.0
2022-07-27,22780.0
2022-07-28,23805.0
2022-07-29,24082.44921875
2022-08-01,23030.0
2022-08-02,23000.0
2022-08-03,23540.0
2022-08-04,22455.0
2022-08-05,22960.0
2022-08-08,23985.0
2022-08-09,23060.0
2022-08-10,23655.0
2022-08-11,24245.0
2022-08-12,24240.0
2022-08-15,24000.0
2022-08-16,23945.0
2022-08-17,23230.0
2022-08-18,23335.0
2022-08-19,21230.0
2022-08-22,20965.0
2022-08-23,21490.0
2022-08-24,21710.0
2022-08-25,21565.0
2022-08-26,21417.890625
2022-08-29,19965.0
2022-08-30,19770.0
2022-08-31,20065.0
2022-09-01,19695.0
2022-09-02,19775.0
2022-09-06,18635.0
2022-09-07,18925.0
2022-09-08,19260.0
2022-09-09,21345.0
2022-09-12,22455.0
2022-09-13,20240.0
2022-09-14,19925.0
2022-09-15,19730.0
2022-09-16,19575.0
2022-09-19,19480.0
2022-09-20,18950.0
2022-09-21,18980.0
2022-09-22,19295.0
2022-09-23,18745.0
2022-09-26,19180.0
2022-09-27,19045.0
2022-09-28,19565.0
2022-09-29,19405.0
2022-09-30,19698.599609375
2022-10-03,19525.0
2022-10-04,20285.0
2022-10-05,20140.0
2022-10-06,20025.0
2022-10-07,19410.0
2022-10-10,19125.0
2022-10-11,18900.0
2022-10-12,19095.0
2022-10-13,19360.0
2022-10-14,19110.0
2022-10-17,19515.0
2022-10-18,19180.0
2022-10-19,19200.0
2022-10-20,19030.0
2022-10-21,19195.0
2022-10-24,19340.0
2022-10-25,20305.0
2022-10-26,20780.0
2022-10-27,20625.0
2022-10-28,20478.439453125
2022-10-31,20380.0
2022-11-01,20480.0
2022-11-02,20265.0
2022-11-03,20285.0
2022-11-04,21155.0
2022-11-07,20845.0
2022-11-08,18080.0
2022-11-09,15615.0
2022-11-10,17780.0
2022-11-11,16050.0
2022-11-14,16005.0
2022-11-15,16690.0
2022-11-16,16285.0
2022-11-17,16520.0
2022-11-18,16530.0
2022-11-21,15690.0
2022-11-22,16055.0
2022-11-23,16610.0
2022-11-25,16512.2890625
2022-11-28,15990.0
2022-11-29,16265.0
2022-11-30,17080.0
2022-12-01,16820.0
2022-12-02,16995.0
2022-12-05,16825.0
2022-12-06,16945.0
2022-12-07,16725.0
2022-12-08,17185.0
2022-12-09,17035.0
2022-12-12,17115.0
2022-12-13,17745.0
2022-12-14,17795.0
2022-12-15,17395.0
2022-12-16,16775.0
2022-12-19,16495.0
2022-12-20,16840.0
2022-12-21,16735.0
2022-12-22,16735.0
2022-12-23,16780.0
2022-12-27,16595.0
2022-12-28,16570.0
2022-12-29,16585.0
2022-12-30,16498.080078125
2023-01-03,16615.0
2023-01-04,16780.0
2023-01-05,16840.0
2023-01-06,16895.0
2023-01-09,17225.0
2023-01-10,17535.0
2023-01-11,17615.0
2023-01-12,19155.0
2023-01-13,19550.0
2023-01-17,21485.0
2023-01-18,20800.0
2023-01-19,21200.0
2023-01-20,22390.0
2023-01-23,23090.0
2023-01-24,23065.0
2023-01-25,22940.0
2023-01-26,23075.0
2023-01-27,23052.73046875
2023-01-30,22825.0
2023-01-31,23250.0
2023-02-01,23755.0
2023-02-02,24005.0
2023-02-03,23485.0
2023-02-06,23110.0
2023-02-07,23300.0
2023-02-08,22885.0
2023-02-09,22010.0
2023-02-10,21775.0
2023-02-13,21710.0
2023-02-14,22335.0
2023-02-15,24250.0
2023-02-16,24640.0
2023-02-17,24870.0
2023-02-21,24490.0
2023-02-22,23800.0
2023-02-23,23920.0
2023-02-24,23576.05078125
2023-02-27,23445.0
2023-02-28,23410.0
2023-03-01,23530.0
2023-03-02,23590.0
2023-03-03,22320.0
2023-03-06,22390.0
2023-03-07,22070.0
2023-03-08,22115.0
2023-03-09,20065.0
2023-03-10,19965.0
2023-03-13,24405.0
2023-03-14,25240.0
2023-03-15,24490.0
2023-03-16,25090.0
2023-03-17,27000.0
2023-03-20,27945.0
2023-03-21,28310.0
2023-03-22,26800.0
2023-03-23,28550.0
2023-03-24,27915.0
2023-03-27,26980.0
2023-03-28,27455.0
2023-03-29,28440.0
2023-03-30,27965.0
2023-03-31,28476.5
2023-04-03,28265.0
2023-04-04,28375.0
2023-04-05,28385.0
2023-04-06,28140.0
2023-04-10,29420.0
2023-04-11,30325.0
2023-04-12,29925.0
2023-04-13,30530.0
2023-04-14,30470.0
2023-04-17,29550.0
2023-04-18,30325.0
2023-04-19,29265.0
2023-04-20,28095.0
2023-04-21,27310.0
2023-04-24,27400.0
2023-04-25,27605.0
2023-04-26,27900.0
2023-04-27,29690.0
2023-04-28,29177.470703125
2023-05-01,27915.0
2023-05-02,28850.0
2023-05-03,28415.0
2023-05-04,29015.0
2023-05-05,29765.0
2023-05-08,27365.0
2023-05-09,27770.0
2023-05-10,27775.0
2023-05-11,26845.0
2023-05-12,26485.0
2023-05-15,27475.0
2023-05-16,26965.0
2023-05-17,27430.0
2023-05-18,26780.0
2023-05-19,26885.0
2023-05-22,26865.0
2023-05-23,27200.0
2023-05-24,26225.0
